Brand,Method,Protein,Fat,Carbs
Old Glory Dog Food (Dry),Dry Matter Basis,30,21,42
Old Glory Dog Food (Dry),Calorie Weighted Basis,24,41,35
Old Yeller Dog Food (Dry),Guaranteed Analysis,21,9,NA
Old Yeller Dog Food (Dry),Dry Matter Basis,24,10,58
Old Yeller Dog Food (Dry),Calorie Weighted Basis,22,23,54
Ole Jack’s Dog Food (Dry),Guaranteed Analysis,21,8,NA
Ole Jack’s Dog Food (Dry),Dry Matter Basis,24,9,59
Ole Jack’s Dog Food (Dry),Calorie Weighted Basis,23,21,56
Pedigree Dog Food (Dry),Guaranteed Analysis,26,12,NA
Pedigree Dog Food (Dry),Dry Matter Basis,30,14,49
Pedigree Dog Food (Dry),Calorie Weighted Basis,27,30,44
Pet Shoppe Dog Food (Dry),Guaranteed Analysis,21,10,NA
Pet Shoppe Dog Food (Dry),Dry Matter Basis,24,11,57
Pet Shoppe Dog Food (Dry),Calorie Weighted Basis,22,26,52
PMI Nutrition Dog Food (Dry),Guaranteed Analysis,21,8,NA
PMI Nutrition Dog Food (Dry),Dry Matter Basis,24,9,59
PMI Nutrition Dog Food (Dry),Calorie Weighted Basis,23,21,56
Purina Active Senior 7 Plus (Dry),Guaranteed Analysis,26,8,NA
Purina Active Senior 7 Plus (Dry),Dry Matter Basis,30,9,53
Purina Active Senior 7 Plus (Dry),Calorie Weighted Basis,29,22,50
Purina Be Happy Dog Food (Dry),Guaranteed Analysis,18,9,NA
Purina Be Happy Dog Food (Dry),Dry Matter Basis,21,11,61
Purina Be Happy Dog Food (Dry),Calorie Weighted Basis,20,24,57
Purina Dog Chow (Dry),Guaranteed Analysis,21,10,NA
Purina Dog Chow (Dry),Dry Matter Basis,24,11,57
Purina Dog Chow (Dry),Calorie Weighted Basis,22,26,52
Purina Dog Chow Light and Healthy (Dry),Guaranteed Analysis,25,9,NA
Purina Dog Chow Light and Healthy (Dry),Dry Matter Basis,28,10,53
Purina Dog Chow Light and Healthy (Dry),Calorie Weighted Basis,27,23,50
Purina Healthy Morsels (Dry),Guaranteed Analysis,21,11,NA
Purina Healthy Morsels (Dry),Dry Matter Basis,24,13,55
Purina Healthy Morsels (Dry),Calorie Weighted Basis,22,28,50
Purina Little Bites (Dry),Guaranteed Analysis,25,10,NA
Purina Little Bites (Dry),Dry Matter Basis,28,11,52
Purina Little Bites (Dry),Calorie Weighted Basis,26,26,48
Purina Puppy Chow (Dry),Guaranteed Analysis,27,12,NA
Purina Puppy Chow (Dry),Dry Matter Basis,31,14,48
Purina Puppy Chow (Dry),Calorie Weighted Basis,28,30,43
Rancher’s Choice Champions Dog Food (Dry),Guaranteed Analysis,21,9,NA
Rancher’s Choice Champions Dog Food (Dry),Dry Matter Basis,23,10,59
Rancher’s Choice Champions Dog Food (Dry),Calorie Weighted Basis,22,23,55
Retriever Dog Food (Dry),Guaranteed Analysis,27,15,NA
Retriever Dog Food (Dry),Dry Matter Basis,31,17,44
Retriever Dog Food (Dry),Calorie Weighted Basis,26,36,38
Rex Dog Food (Dry),Guaranteed Analysis,27,15,NA
Rex Dog Food (Dry),Dry Matter Basis,30,17,45
Rex Dog Food (Dry),Calorie Weighted Basis,26,35,39
River Run Dog Food (Dry),Guaranteed Analysis,27,15,NA
River Run Dog Food (Dry),Dry Matter Basis,30,17,45
River Run Dog Food (Dry),Calorie Weighted Basis,26,35,39
Shawnee Dog Food (Dry),Guaranteed Analysis,27,11,NA
Shawnee Dog Food (Dry),Dry Matter Basis,30,12,50
Shawnee Dog Food (Dry),Calorie Weighted Basis,27,27,46
Shep Dog Food (Dry),Guaranteed Analysis,21,10,NA
Shep Dog Food (Dry),Dry Matter Basis,24,11,57
Shep Dog Food (Dry),Calorie Weighted Basis,22,26,52
Simply Right Dog Food (Dry),Guaranteed Analysis,21,10,NA
Simply Right Dog Food (Dry),Dry Matter Basis,24,11,57
Simply Right Dog Food (Dry),Calorie Weighted Basis,22,26,52
Sonny’s Pride Dog Food (Dry),Guaranteed Analysis,24,20,NA
Sonny’s Pride Dog Food (Dry),Dry Matter Basis,27,23,42
Sonny’s Pride Dog Food (Dry),Calorie Weighted Basis,22,44,34
Southern States Advanced (Dry),Guaranteed Analysis,26,18,NA
Southern States Advanced (Dry),Dry Matter Basis,29,20,43
Southern States Advanced (Dry),Calorie Weighted Basis,24,40,36
Supreme Dog Food (Dry),Guaranteed Analysis,21,9,NA
Supreme Dog Food (Dry),Dry Matter Basis,24,10,58
Supreme Dog Food (Dry),Calorie Weighted Basis,22,23,54
Tomboy Dog Food (Dry),Guaranteed Analysis,21,8,NA
Tomboy Dog Food (Dry),Dry Matter Basis,24,9,59
Tomboy Dog Food (Dry),Calorie Weighted Basis,23,21,56
Tops Dog Food (Dry),Guaranteed Analysis,25,10,NA
Tops Dog Food (Dry),Dry Matter Basis,28,11,53
Tops Dog Food (Dry),Calorie Weighted Basis,26,25,49
