Brand,Method,Protein,Fat,Carbs
Hunter’s Special Dog Food (Dry),Calorie Weighted Basis,21,38,41
Joy Dog Food (Dry),Guaranteed Analysis,26,12,0
Joy Dog Food (Dry),Dry Matter Basis,29,13,50
Joy Dog Food (Dry),Calorie Weighted Basis,26,29,45
Kal Kan Dog Food (Dry),Guaranteed Analysis,20,8,0
Kal Kan Dog Food (Dry),Dry Matter Basis,23,9,60
Kal Kan Dog Food (Dry),Calorie Weighted Basis,22,21,57
Kibble Select Complete (Dry),Guaranteed Analysis,20,7,0
Kibble Select Complete (Dry),Dry Matter Basis,25,9,58
Kibble Select Complete (Dry),Calorie Weighted Basis,24,20,56
Kibbles ‘n Bits (Dry),Guaranteed Analysis,19,12,0
Kibbles ‘n Bits (Dry),Dry Matter Basis,23,15,54
Kibbles ‘n Bits (Dry),Calorie Weighted Basis,21,31,48
Kroger Value Chunk Dog Food (Dry),Guaranteed Analysis,21,8,0
Kroger Value Chunk Dog Food (Dry),Dry Matter Basis,24,9,59
Kroger Value Chunk Dog Food (Dry),Calorie Weighted Basis,23,21,56
Maintain Chunks Dog Food (Dry),Guaranteed Analysis,16,7,0
Maintain Chunks Dog Food (Dry),Dry Matter Basis,18,7,67
Maintain Chunks Dog Food (Dry),Calorie Weighted Basis,17,17,66
Muenster Premium Dog Food (Dry),Guaranteed Analysis,26,18,0
Muenster Premium Dog Food (Dry),Dry Matter Basis,29,20,43
Muenster Premium Dog Food (Dry),Calorie Weighted Basis,24,40,36
National Dog Food (Dry),Guaranteed Analysis,26,15,0
National Dog Food (Dry),Dry Matter Basis,29,17,46
National Dog Food (Dry),Calorie Weighted Basis,25,35,40
Ol’ Roy Dog Food (Dry),Guaranteed Analysis,21,10,0
Ol’ Roy Dog Food (Dry),Dry Matter Basis,24,11,57
Ol’ Roy Dog Food (Dry),Calorie Weighted Basis,22,26,52
Ol’ Roy Skin and Coat (Dry),Guaranteed Analysis,23,12,0
Ol’ Roy Skin and Coat (Dry),Dry Matter Basis,26,14,52
Ol’ Roy Skin and Coat (Dry),Calorie Weighted Basis,23,30,47
Old Glory Dog Food (Dry),Guaranteed Analysis,26,18,0
Old Glory Dog Food (Dry),Dry Matter Basis,30,21,42
Old Glory Dog Food (Dry),Calorie Weighted Basis,24,41,35
Old Yeller Dog Food (Dry),Guaranteed Analysis,21,9,0
Old Yeller Dog Food (Dry),Dry Matter Basis,24,10,58
Old Yeller Dog Food (Dry),Calorie Weighted Basis,22,23,54
Ole Jack’s Dog Food (Dry),Guaranteed Analysis,21,8,0
Ole Jack’s Dog Food (Dry),Dry Matter Basis,24,9,59
Ole Jack’s Dog Food (Dry),Calorie Weighted Basis,23,21,56
Pedigree Dog Food (Dry),Guaranteed Analysis,26,12,0
Pedigree Dog Food (Dry),Dry Matter Basis,30,14,49
Pedigree Dog Food (Dry),Calorie Weighted Basis,27,30,44
Pet Shoppe Dog Food (Dry),Guaranteed Analysis,21,10,0
Pet Shoppe Dog Food (Dry),Dry Matter Basis,24,11,57
Pet Shoppe Dog Food (Dry),Calorie Weighted Basis,22,26,52
PMI Nutrition Dog Food (Dry),Guaranteed Analysis,21,8,0
PMI Nutrition Dog Food (Dry),Dry Matter Basis,24,9,59
PMI Nutrition Dog Food (Dry),Calorie Weighted Basis,23,21,56
Purina Active Senior 7 Plus (Dry),Guaranteed Analysis,26,8,0
Purina Active Senior 7 Plus (Dry),Dry Matter Basis,30,9,53
Purina Active Senior 7 Plus (Dry),Calorie Weighted Basis,29,22,50
Purina Be Happy Dog Food (Dry),Guaranteed Analysis,18,9,0
Purina Be Happy Dog Food (Dry),Dry Matter Basis,21,11,61
Purina Be Happy Dog Food (Dry),Calorie Weighted Basis,20,24,57
Purina Dog Chow (Dry),Guaranteed Analysis,21,10,0
Purina Dog Chow (Dry),Dry Matter Basis,24,11,57
Purina Dog Chow (Dry),Calorie Weighted Basis,22,26,52
Purina Dog Chow Light and Healthy (Dry),Guaranteed Analysis,25,9,0
Purina Dog Chow Light and Healthy (Dry),Dry Matter Basis,28,10,53
Purina Dog Chow Light and Healthy (Dry),Calorie Weighted Basis,27,23,50
Purina Healthy Morsels (Dry),Guaranteed Analysis,21,11,0
Purina Healthy Morsels (Dry),Dry Matter Basis,24,13,55
Purina Healthy Morsels (Dry),Calorie Weighted Basis,22,28,50
Purina Little Bites (Dry),Guaranteed Analysis,25,10,0
Purina Little Bites (Dry),Dry Matter Basis,28,11,52
Purina Little Bites (Dry),Calorie Weighted Basis,26,26,48
Purina Puppy Chow (Dry),Guaranteed Analysis,27,12,0
Purina Puppy Chow (Dry),Dry Matter Basis,31,14,48
Purina Puppy Chow (Dry),Calorie Weighted Basis,28,30,43
Rancher’s Choice Champions Dog Food (Dry),Guaranteed Analysis,21,9,0
Rancher’s Choice Champions Dog Food (Dry),Dry Matter Basis,23,10,59
Rancher’s Choice Champions Dog Food (Dry),Calorie Weighted Basis,22,23,55
Retriever Dog Food (Dry),Guaranteed Analysis,27,15,0
Retriever Dog Food (Dry),Dry Matter Basis,31,17,44
Retriever Dog Food (Dry),Calorie Weighted Basis,26,36,38
Rex Dog Food (Dry),Guaranteed Analysis,27,15,0
Rex Dog Food (Dry),Dry Matter Basis,30,17,45
Rex Dog Food (Dry),Calorie Weighted Basis,26,35,39
River Run Dog Food (Dry),Guaranteed Analysis,27,15,0
River Run Dog Food (Dry),Dry Matter Basis,30,17,45
River Run Dog Food (Dry),Calorie Weighted Basis,26,35,39
Shawnee Dog Food (Dry),Guaranteed Analysis,27,11,0
Shawnee Dog Food (Dry),Dry Matter Basis,30,12,50
Shawnee Dog Food (Dry),Calorie Weighted Basis,27,27,46
Shep Dog Food (Dry),Guaranteed Analysis,21,10,0
Shep Dog Food (Dry),Dry Matter Basis,24,11,57
Shep Dog Food (Dry),Calorie Weighted Basis,22,26,52
Simply Right Dog Food (Dry),Guaranteed Analysis,21,10,0
Simply Right Dog Food (Dry),Dry Matter Basis,24,11,57
Simply Right Dog Food (Dry),Calorie Weighted Basis,22,26,52
Sonny’s Pride Dog Food (Dry),Guaranteed Analysis,24,20,0
Sonny’s Pride Dog Food (Dry),Dry Matter Basis,27,23,42
Sonny’s Pride Dog Food (Dry),Calorie Weighted Basis,22,44,34
Southern States Advanced (Dry),Guaranteed Analysis,26,18,0
Southern States Advanced (Dry),Dry Matter Basis,29,20,43
Southern States Advanced (Dry),Calorie Weighted Basis,24,40,36
Supreme Dog Food (Dry),Guaranteed Analysis,21,9,0
Supreme Dog Food (Dry),Dry Matter Basis,24,10,58
Supreme Dog Food (Dry),Calorie Weighted Basis,22,23,54
Tomboy Dog Food (Dry),Guaranteed Analysis,21,8,0
Tomboy Dog Food (Dry),Dry Matter Basis,24,9,59
Tomboy Dog Food (Dry),Calorie Weighted Basis,23,21,56
Tops Dog Food (Dry),Guaranteed Analysis,25,10,0
Tops Dog Food (Dry),Dry Matter Basis,28,11,53
Tops Dog Food (Dry),Calorie Weighted Basis,26,25,49
